Bit,Alarm
0,PowerFailure
1,PowerRestore
2,Tamper
3,BrownOut
4,MeterReadFailure
5,HotSocket
6,RAMFailure
7,ROMFailure
8,7759CalibrationError
9,7759RegisterChecksumError
10,7759ResetError
11,MeterRAMError
12,GeneralCRCError
13,SoftEEPROMError
14,WatchDogRestart
15,7759BitChecksumError
16,SoftKWHError
17,LowACVolts
18,CurrentTooHigh
19,MeterPowerFail
20,HardEEPROMError
21,HardKWHError
22,ConfigurationError
23,ReversePower
24,LowLossPotential
25,LowBatteryError
26,MeterROMError
27,MeterUnProgrammed
28,ClockError
29,HighACVolts
30,MetroCalibrationCorrupt
31,PowerFailure
32,MetroBadRegisterNumber
33,BlockNoGoodBlocks
34,BlockBufferSizeError
35,BlockBadIndex
36,BlockCantMarkBad
37,DisconnectFail
38,ReverseEnergyAlarm
39,HistoryOverFlow
40,CutWire
41,LeakDetected
42,BrokenPipe
43,BackFlow
44,MeterCommunicationFailed
45,NonNumericRead
46,Magnetic
47,Tilt
48,TimeAdjustment
49,CorrectorError
50,HighTemperature
51,LowPressureShutoff
52,HighPressureShutoff
53,ExcessFlow
54,SeismicEvent
55,LowPressureWarning
56,HighPressureWarning
57,UnknownValveState
58,SwappedMeter
59,MeterCommunicationFailed30Days
60,HighVoltage
61,OverClassAmpsAlarm
62,OverTemperatureEvent
63,Unused
